Neighborhood,Total_Project_Budget,Percentage
Charlestown,531212390.0,18.848536547639718
Downtown/Government Center,318415000.0,11.298036110973806
Chinatown,271272172.0,9.625309093975778
Dorchester,239411239.0,8.49481595903139
Roxbury,237308325.0,8.420200132797474
South Boston,200249965.0,7.105291320419077
South End,181432034.0,6.4375914194351
Harbor Islands,171778144.0,6.09505103084986
Roslindale,102470000.0,3.635851829503905
North End,95445000.0,3.3865900055333285
Mattapan,87935000.0,3.120119358128485
Jamaica Plain,81700000.0,2.8988884011951694
Back Bay,65442299.0,2.3220308631413245
East Boston,62457890.0,2.216137734199801
Allston/Brighton,57605000.0,2.043946956558724
West Roxbury,48645000.0,1.7260272494019464
Beacon Hill,34410000.0,1.220939411078651
Fenway-Kenmore,12750000.0,0.45239690471528043
Hyde Park,6615000.0,0.23471415879933963
Mission Hill,5242212.0,0.18600474373814116
West End,5000000.0,0.17741055086873742
Bay Village,1525000.0,0.05411021801496491
