Neighborhood,PM_Department,Total_Project_Budget
Allston/Brighton,Parks and Recreation Department,1246666.6666666667
Allston/Brighton,Public Facilities Department,5854166.666666667
Allston/Brighton,Public Works Department,5000000.0
Back Bay,Boston Public Library,400000.0
Back Bay,Boston Transportation Department,9876299.0
Back Bay,Parks and Recreation Department,10290000.0
Back Bay,Public Facilities Department,2050000.0
Back Bay,Public Works Department,15243000.0
Bay Village,Office of Arts and Culture,475000.0
Bay Village,Parks and Recreation Department,575000.0
Beacon Hill,Parks and Recreation Department,6450000.0
Beacon Hill,Public Facilities Department,8610000.0
Charlestown,Boston Housing Authority,30000000.0
Charlestown,Boston Planning and Development Agency,1000000.0
Charlestown,Boston Transportation Department,85907701.5
Charlestown,Parks and Recreation Department,9700000.0
Charlestown,Public Facilities Department,14495000.0
Charlestown,Public Works Department,59130496.75
Chinatown,Boston Transportation Department,2400000.0
Chinatown,Office of Arts and Culture,1000000.0
Chinatown,Public Facilities Department,89124057.33333333
Chinatown,Public Works Department,500000.0
Dorchester,Boston Public Schools,994000.0
Dorchester,Boston Transportation Department,275000.0
Dorchester,Parks and Recreation Department,1232500.0
Dorchester,Public Facilities Department,14467882.6
Dorchester,Public Works Department,1300000.0
Downtown/Government Center,Boston Planning and Development Agency,6000000.0
Downtown/Government Center,Boston Transportation Department,4785000.0
Downtown/Government Center,Property Management Department,500000.0
Downtown/Government Center,Public Facilities Department,59736000.0
Downtown/Government Center,Public Works Department,2816666.6666666665
East Boston,Boston Housing Authority,19000000.0
East Boston,Boston Public Schools,700000.0
East Boston,Boston Transportation Department,2150000.0
East Boston,Parks and Recreation Department,1656666.6666666667
East Boston,Public Facilities Department,4863472.5
East Boston,Public Works Department,8092000.0
Fenway-Kenmore,Parks and Recreation Department,3875000.0
Fenway-Kenmore,Public Facilities Department,3000000.0
Fenway-Kenmore,Public Works Department,2000000.0
Harbor Islands,Public Facilities Department,15255000.0
Harbor Islands,Public Works Department,55379072.0
Hyde Park,Parks and Recreation Department,1022500.0
Hyde Park,Public Facilities Department,914000.0
Jamaica Plain,Boston Housing Authority,34500000.0
Jamaica Plain,Boston Public Schools,705000.0
Jamaica Plain,Boston Transportation Department,1000000.0
Jamaica Plain,Parks and Recreation Department,1384000.0
Jamaica Plain,Public Facilities Department,1052500.0
Mattapan,Office of Arts and Culture,250000.0
Mattapan,Parks and Recreation Department,525000.0
Mattapan,Public Facilities Department,14783750.0
Mattapan,Public Works Department,13750000.0
Mission Hill,Boston Public Schools,1892212.0
Mission Hill,Boston Transportation Department,300000.0
Mission Hill,Public Facilities Department,1016666.6666666666
North End,Parks and Recreation Department,1990000.0
North End,Public Facilities Department,44737500.0
Roslindale,Boston Public Schools,1000000.0
Roslindale,Boston Transportation Department,1100000.0
Roslindale,Parks and Recreation Department,175000.0
Roslindale,Public Facilities Department,30923333.333333332
Roslindale,Public Works Department,2416666.6666666665
Roxbury,Boston Public Schools,50000.0
Roxbury,Boston Transportation Department,15527500.0
Roxbury,Office of Arts and Culture,350000.0
Roxbury,Parks and Recreation Department,2427812.5
Roxbury,Public Facilities Department,7414901.470588235
Roxbury,Public Works Department,2387500.0
South Boston,Boston Housing Authority,20000000.0
South Boston,Boston Planning and Development Agency,3458333.3333333335
South Boston,Boston Public Schools,500000.0
South Boston,Environment Department,2178000.0
South Boston,Parks and Recreation Department,35173482.5
South Boston,Public Facilities Department,4200000.0
South Boston,Public Works Department,14825000.0
South End,Boston Planning and Development Agency,1000000.0
South End,Parks and Recreation Department,1345000.0
South End,Police Department,30000.0
South End,Public Facilities Department,7641437.5
South End,Public Works Department,3665375.5
West End,Public Facilities Department,3000000.0
West End,Public Works Department,2000000.0
West Roxbury,Boston Transportation Department,400000.0
West Roxbury,Parks and Recreation Department,4737500.0
West Roxbury,Public Facilities Department,9692500.0
